what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751844843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751868562
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360751868750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360751868921
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360751868921
closed,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360751873484
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360751876921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751887562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751890406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751948015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751963640
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360751963828
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360751964046
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360751964109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751972265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360751977656
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1360751978953
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1360751979140
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360751979140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752010578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752014437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752019109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752069906
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360752075171
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1360752076953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752081500
error,log,,,"Port 8009 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1360752081593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752084937
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1360752087734
error,log,,,"Port 8009 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1360752090296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752090328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752092531
opened,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360752094250
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360752094421
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1360752102812
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360752104656
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1360752106796
error,log,,,"Port 8009 required by Tomcat v6.0 Server at localhost is already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1360752110765
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752110796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752118156
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360752120515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752120812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752122531
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1360752135546
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360752137656
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1360752139406
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360752142203
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360752142250
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360752156125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752158968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752171734
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360752171734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752193734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752292859
activated,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360752298906
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1360752299171
closed,editor,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.editor",1360752299171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752301781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752309328
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752309593
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752309937
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360752309937
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1360752329609
closed,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752329609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752336140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752340453
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360752340500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752347015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752349703
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752349937
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752350171
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360752350171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752367156
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752371640
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752371734
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360752371734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752389328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752391390
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360752391421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752411093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752694453
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752698312
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360752699406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752711562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752734109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752737390
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360752740625
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360752749281
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360752750890
