what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940886296
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940886437
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940886578
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1360940887578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940891687
opened,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1360940894937
activated,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1360940895078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940895609
executed,command,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.openFileSearchPage",1360940895656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940895968
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940897468
opened,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360940908125
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360940908593
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360940927500
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940932515
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940932671
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360940932796
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360940936093
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1360940938000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360940939265
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1360940940687
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360940947203
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.stop",1360940948968
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360940949875
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360940951578
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360940968515
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1360940968593
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360940969578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940970593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940978765
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1360940978781
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360940979109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360940980890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941000656
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360941004859
started,bundle,com.powerflasher.fdt.ui.launch,5.5.2.1518,"com.powerflasher.fdt.ui.launch",1360941013875
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1360941013921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941014046
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941016437
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360941018046
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360941021500
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360941024109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1360941030187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941039718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941040140
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1360941040171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941041328
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360941068625
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1360941070078
