what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1361785548000
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1361785548109
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1361785548156
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785579062
error,log,,,"Error logged from Debug UI: ",1361785582750
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1361785584687
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1361785596781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785597109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785599703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785609500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785609671
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1361785610890
activated,perspective,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.TeamSynchronizingPerspective",1361785610953
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785611015
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1361785611203
error,log,,,"Problems reported while synchronizing SVNStatusSubscriber. 0 of 2 resources were synchronized.",1361785652671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785652781
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785655718
opened,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785673640
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785673750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785674203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785675562
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1361785701109
opened,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785701312
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785701343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785701734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785702921
activated,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.sync.views.SynchronizeView",1361785737765
opened,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785737968
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785738000
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785738375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785739578
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.J2EEPerspective",1361785762062
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785766437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785770609
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785776484
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785776703
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785776703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785781281
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785784453
activated,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785784703
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785784703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785788015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785791328
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785791828
closed,editor,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare.CompareEditor",1361785791828
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785796421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785805734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785809281
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1361785809328
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785958640
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1361785968812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785970484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361785976093
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361785976250
