what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187352953
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187372343
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187372468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187372609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187384031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187384031
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1361187389781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187392468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187403406
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1361187403671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187437750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187456484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1361187467781
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1361187471859
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187478296
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187478421
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1361187479078
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1361187484359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187490453
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1361187502765
error,log,,,"Error occurred while removing markers",1361187504359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187504562
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1361187504609
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.rename",1361187504609
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187506109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1361187510109
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1361187515250
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187520953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1361187531812
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187534015
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1361187536390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1361187540140
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187542687
started,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.plan",1361187544484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187553750
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187559640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187559812
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187569703
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187572796
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187584640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187592687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187593000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187594140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187607843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187610640
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1361187610687
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187619140
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187621734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187629687
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187634406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187659250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187662093
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1361187662109
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187673218
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187676234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187694562
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187695187
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1361187695187
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1361187740687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187757140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187759328
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187779375
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187783968
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187788625
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187796234
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187799015
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1361187804484
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361187836187
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187934531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361187991515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188013000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188020796
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1361188020812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188037875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188042156
opened,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361188042890
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1361188042984
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1361188042984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188068234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188141984
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1361188162093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1361188166609
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188168500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188171296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1361188171312
