what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360833937026
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360833940448
executed,command,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.openFileSearchPage",1360833940495
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360833945526
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360833949480
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360833952714
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360833986776
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360833993792
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360833995917
activated,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1360833998105
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360833998198
executed,command,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.openFileSearchPage",1360833998230
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360833998542
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834001433
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834017183
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360834019026
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834022870
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360834027151
activated,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1360834029683
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834029761
executed,command,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.openFileSearchPage",1360834029808
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834032151
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834039276
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360834042901
activated,view,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.views.SearchView",1360834049558
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834049636
executed,command,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search.ui.openFileSearchPage",1360834049667
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834049980
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834050495
opened,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1360834054933
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1360834055026
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834123573
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1360834134448
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834155386
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360834176230
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1360834180198
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834186901
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834194745
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834708433
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360834712839
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834767808
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834770120
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834818245
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1360834821089
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834852933
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834858917
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360834859105
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360834859401
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360834859495
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834862480
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834866323
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834866448
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.navigate.openResource",1360834866620
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360834898417
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1360834900526
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1360834902776
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834910511
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1360834913245
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1360834917386
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1360834946761
